City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Lagoa,PT,39.05,-27.9833,58.42,70,100,18.77,overcast clouds
275,Cootamundra,AU,-34.65,148.0333,62.94,65,100,17.85,light rain
276,Marovoay,MG,-16.1,46.6333,65.34,72,0,3.11,clear sky
277,Ako,JP,34.75,134.4,65.44,83,100,6.08,overcast clouds
278,Visnes,NO,59.3556,5.2242,49.82,87,75,16.11,broken clouds
279,Ko Samui,TH,9.5357,99.9357,84.11,84,20,6.91,few clouds
280,Nzega,RW,-2.479,29.5564,54.86,94,100,3.76,overcast clouds
281,Grindavik,IS,63.8424,-22.4338,37.35,87,75,14.97,broken clouds
282,Banda Aceh,ID,5.5577,95.3222,86.85,66,89,8.81,moderate rain
283,East London,ZA,-33.0153,27.9116,63.54,72,0,17.27,clear sky
284,Manggar,ID,-2.8833,108.2667,87.33,66,53,2.46,broken clouds
285,Samarai,PG,-10.6167,150.6667,85.84,74,100,16.62,overcast clouds
286,Antofagasta,CL,-23.65,-70.4,60.08,85,26,1.3,scattered clouds
287,Neiafu,TO,-18.65,-173.9833,81.28,78,75,4.61,broken clouds
288,Honningsvag,NO,70.9821,25.9704,37.15,87,100,8.05,overcast clouds
289,Sao Paulo Do Potengi,BR,-5.895,-35.7628,75.31,96,67,4.43,broken clouds
290,Ise,JP,34.4833,136.7,65.52,72,100,6.4,light rain
291,La Paz,BO,-16.5,-68.15,44.58,100,75,10.36,fog
292,Liangxiang,CN,39.7319,116.14,70.86,15,83,7.72,broken clouds
293,Taoudenni,ML,22.6783,-3.9836,85.57,9,2,3.06,clear sky
294,Puerto Escondido,MX,15.85,-97.0667,83.23,69,75,2.3,broken clouds
295,Jaca,ES,42.569,-0.5499,52.99,84,14,4.29,few clouds
296,Lagos,NG,6.5833,3.75,80.92,92,63,1.19,broken clouds
297,Nogliki,RU,51.8333,143.1667,36.91,95,64,13.78,broken clouds
298,Ugoofaaru,MV,5.6667,73.0,84.25,76,100,16.42,overcast clouds
299,Port-Cartier,CA,50.0334,-66.8654,39.42,87,23,4.09,few clouds
300,Flinders,AU,-34.5833,150.8552,69.39,73,100,5.01,light rain
301,Pangai,TO,-19.8,-174.35,78.91,65,75,6.91,broken clouds
302,Panaba,MX,21.2833,-88.2667,78.67,79,0,11.99,clear sky
303,Saint-Philippe,RE,-21.3585,55.7679,72.1,78,5,4.23,clear sky
304,Christchurch,NZ,-43.5333,172.6333,61.41,58,4,4.61,clear sky
305,Skjervoy,NO,70.0311,20.9714,33.8,83,87,7.47,overcast clouds
306,Gewane,ET,10.1664,40.6453,80.19,46,3,4.03,clear sky
307,Cap Malheureux,MU,-19.9842,57.6142,77.47,78,40,1.99,scattered clouds
308,Hovd,MN,48.0056,91.6419,43.86,26,0,10.33,clear sky
309,Tasiilaq,GL,65.6145,-37.6368,24.96,89,100,11.81,overcast clouds
310,Sena Madureira,BR,-9.0656,-68.6569,72.81,98,100,0.51,overcast clouds
311,Snasa,NO,64.2457,12.3778,43.21,94,100,3.94,light rain
312,Zunyi,CN,27.6867,106.9072,60.62,95,100,6.49,overcast clouds
313,Warwick,US,41.7001,-71.4162,51.06,58,0,12.66,clear sky
314,Kavadarci,MK,41.4331,22.0119,50.32,88,8,1.05,clear sky
315,Ust-Uda,RU,54.1742,103.0304,45.73,33,67,8.5,broken clouds
316,Pacific Grove,US,36.6177,-121.9166,53.71,74,0,13.0,clear sky
317,Gushikawa,JP,26.3544,127.8686,80.19,86,75,12.66,light intensity drizzle
318,Yaan,NG,7.3833,8.5667,74.91,86,92,4.88,overcast clouds
319,Bottrop,DE,51.5167,6.9167,62.71,71,95,1.99,overcast clouds
320,Redlands,US,34.0556,-117.1825,60.46,44,0,10.36,clear sky
321,Fairbanks,US,64.8378,-147.7164,43.61,74,100,14.97,overcast clouds
322,Farafangana,MG,-22.8167,47.8333,67.32,76,0,10.04,clear sky
323,Sorland,NO,67.667,12.6934,42.66,96,100,13.31,overcast clouds
324,Dauphin,CA,51.1494,-100.0502,46.54,76,0,13.8,clear sky
325,Yulara,AU,-25.2406,130.9889,67.84,28,98,9.22,overcast clouds
326,Nabire,ID,-3.3667,135.4833,85.96,68,68,4.29,light rain
327,Hegang,CN,47.4,130.3667,59.79,54,100,20.45,overcast clouds
328,Qandala,SO,11.472,49.8728,82.87,55,0,1.1,clear sky
329,Sambava,MG,-14.2667,50.1667,72.64,90,81,3.33,light rain
330,Saint-Augustin,CA,51.226,-58.6502,45.18,60,40,13.47,scattered clouds
331,Montrose,US,38.4166,-108.2673,58.57,24,14,17.22,few clouds
332,Ambanja,MG,-13.6833,48.45,71.53,93,18,3.44,few clouds
333,Tatawin,TN,32.9297,10.4518,57.6,85,0,4.74,clear sky
334,Badou,TG,7.5833,0.6,74.53,91,100,2.37,light rain
335,Kirakira,SB,-10.4544,161.9205,84.27,74,100,6.4,overcast clouds
336,Salalah,OM,17.0151,54.0924,78.89,50,0,2.3,clear sky
337,Sioux Lookout,CA,50.1001,-91.917,53.67,47,20,5.75,few clouds
338,Mora,CM,11.0461,14.1401,88.79,39,100,6.76,overcast clouds
339,Catuday,PH,16.2923,119.8062,84.49,66,32,7.34,scattered clouds
340,Cuenca,EC,-2.8833,-78.9833,55.53,100,90,2.3,overcast clouds
